code,title,prerequisite,prerequisite_link,dept_link
ACCT 1201,Financial Accounting and Reporting,,,/course-descriptions/acct/
ACCT 1209,Financial Accounting and Reporting,,,/course-descriptions/acct/
ACCT 1990,Elective,,,/course-descriptions/acct/
ACCT 2301,Profit Analysis for Managers and Advisors,ACCT 1201,https://catalog.northeastern.edu/search/?P=ACCT%201201,/course-descriptions/acct/
ACCT 2301,Profit Analysis for Managers and Advisors,ACCT 1209,https://catalog.northeastern.edu/search/?P=ACCT%201209,/course-descriptions/acct/
ACCT 2990,Elective,,,/course-descriptions/acct/
ACCT 3304,Business Law and Professional Ethics,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
ACCT 3401,Financial Reporting and Analysis 1,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
ACCT 3402,Financial Reporting and Financial Statement Analysis,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
ACCT 3403,Advisory Services and Emerging Accounting Systems,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
ACCT 3416,Strategic Cost Analysis for Decision Making,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
ACCT 3990,Elective,,,/course-descriptions/acct/
ACCT 4412,Auditing and Other Assurance Services,ACCT 3401,https://catalog.northeastern.edu/search/?P=ACCT%203401,/course-descriptions/acct/
ACCT 4414,Income Tax Determination and Planning,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
ACCT 4501,Financial Reporting and Analysis 2,ACCT 3401,https://catalog.northeastern.edu/search/?P=ACCT%203401,/course-descriptions/acct/
ACCT 4990,Elective,,,/course-descriptions/acct/
ACCT 4992,Directed Study,,,/course-descriptions/acct/
ACCT 5201,Foundations of Financial Reporting and Analysis 1,,,/course-descriptions/acct/
ACCT 5202,Foundations of Assurance Services,,,/course-descriptions/acct/
ACCT 5203,Foundations of Income Tax Determination and Planning,,,/course-descriptions/acct/
ACCT 5204,Foundations of Financial Reporting and Analysis 2,ACCT 5201,https://catalog.northeastern.edu/search/?P=ACCT%205201,/course-descriptions/acct/
ACCT 5220,Data Analytics for Advisory Services,ACCT 2301,https://catalog.northeastern.edu/search/?P=ACCT%202301,/course-descriptions/acct/
