code,title,prerequisite,prerequisite_link,dept_link
POLS 1000,Political Science at Northeastern,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 1150,American Government,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 1155,Comparative Politics,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 1160,International Relations,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 1990,Elective,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2282,The Holocaust and Comparative Genocide,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2290,Asian American Politics,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2325,Ancient Philosophy and Political Thought,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2325,Ancient Philosophy and Political Thought,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2328,Modern Political Thought,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2330,American Political Thought,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2332,Contemporary Political Thought,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2333,Politics and Film,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2345,Urban Policies and Politics,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2350,State and Local Politics,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2356,Democratic Erosion,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2358,Current Issues in Cities and Suburbs,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2359,Immigration Politics,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2368,Music and Politics in America and Abroad,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2370,Religion and Politics,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2370,Religion and Politics,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2370,Religion and Politics,INTL 1101,https://catalog.northeastern.edu/search/?P=INTL%201101,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2378,Race and Ethnic Politics in the United States,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2385,U.S,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2390,"Science, Technology, and Public Policy",,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2395,Environmental Politics and Policy,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2396,The Psychology of Misinformation,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2399,Research Methods in Political Science,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2399,Research Methods in Political Science,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2399,Research Methods in Political Science,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2399,Research Methods in Political Science,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,CS 1800,https://catalog.northeastern.edu/search/?P=CS%201800,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1213,https://catalog.northeastern.edu/search/?P=MATH%201213,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1215,https://catalog.northeastern.edu/search/?P=MATH%201215,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1231,https://catalog.northeastern.edu/search/?P=MATH%201231,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1241,https://catalog.northeastern.edu/search/?P=MATH%201241,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1251,https://catalog.northeastern.edu/search/?P=MATH%201251,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1341,https://catalog.northeastern.edu/search/?P=MATH%201341,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2400,Quantitative Techniques,MATH 1342,https://catalog.northeastern.edu/search/?P=MATH%201342,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2990,Elective,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 2991,Research Practicum,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3100,"Gender, Social Justice, and Transnational Activism",,,https://catalog.northeastern.edu/course-descriptions/pols/
